asset_name,asset_type,asset_id,step,threat,tid,stride,description,compromised,precondition,postcondition,protocol,role,propagation_role,origin_type,relation_type
Actuator1,HW.Actuator,30,1,Controller Packet Tampering,T314,"T,E,D","an attacker intercepts, alters, or injects malicious packets sent from the industrial controller (e.g., PLC) to field actuators (such as valves, motors, pumps) within a control network.",self,"[n,n,n]","[n,p,n]",,,,,
Actuator1,HW.Actuator,30,1,Device Restart,T414,"D,T","PLC devices forcibly restarted/shutdown, interrupting water station operation.",self,"[n,n,p]","[n,n,f]",,,,,
Actuator1,HW.Actuator,30,1,Physical Damage,T215,"T,D",Actuators may be physically accessed and forced to operate outside normal parameters.	,self,"[n,n,n]","[n,n,p]",,,,,
Actuator1,HW.Actuator,30,1,Unauthorized Actuation,T115,"T,E","Attacker modifies actuator command signals sent to field devices, enabling unsafe/unintended physical action (e.g. valve flow, pump control).	",self,"[n,n,n]","[p,p,n]",,,,,
Actuator1,HW.Actuator,30,3,Exploitation of Known Vulnerabilities,T208,"T,E","Exploiting software/hardware bugs (e.g., Buffer Overflow) to gain arbitrary code execution on the controller.","self,target(hosts)","[p,p,p]","[f,f,p]",,,target(hosts),HW.PLC,hosts
Actuator1,HW.Actuator,30,3,Firmware Modification,T108,"T,D,E",The malicious modification or replacement of the embedded software within hardware devices.,"self,target(hosts)","[p,p,n]","[p,f,n]",,,target(hosts),HW.PLC,hosts
Actuator1,HW.Actuator,30,3,Loss of device control,T410,"D,R","Attackers may overwrite passwords or clear memory, leaving authorized users unable to manage or recover operational control of the PLC.","self,target(hosts)","[n,n,n]","[p,p,p]",,,target(hosts),HW.PLC,hosts
Actuator1,HW.Actuator,30,3,Main Program Block Removal,T408,D,"Replay deletes Main Object Block, blocks operational logic","self,target(hosts)","[n,n,n]","[n,n,p]",,,target(hosts),HW.PLC,hosts
Actuator1,HW.Actuator,30,3,Manipulating PLC Logic,T308,"S,T","Upload the modified program back to the PLC, leading to malicious code execution","self,target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator1,HW.Actuator,30,3,Misconfiguration,T210,"E,T","Attacker exploits endpoint and protocol weaknesses to compromise the static IP, gain access to PLC configuration via web-server, and alter system settings.	","self,target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator1,HW.Actuator,30,3,Mode Disruption,T310,D,Forced changes to PLC operational mode (RUN/STOP/PROGRAM) may disrupt critical process control.	,"self,target(hosts)","[n,n,n]","[n,n,p]",,,target(hosts),HW.PLC,hosts
Actuator1,HW.Actuator,30,3,Network Ransomware,T317,"T,D,E",The attacker enrypt the data sende by PLC,"self, target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator1,HW.Actuator,30,3,Process Manipulation,T110,"T,E,D","The integrity, availability, or safety of the managed industrial process (e.g., fluid transfer, pump operation) is put at risk by unauthorized or outdated commands carrying false intentions.	","self, target(hosts), source(connects)","[n,n,n]","[n,f,n]",,,target(hosts),HW.PLC,hosts
Actuator2,HW.Actuator,31,1,Controller Packet Tampering,T314,"T,E,D","an attacker intercepts, alters, or injects malicious packets sent from the industrial controller (e.g., PLC) to field actuators (such as valves, motors, pumps) within a control network.",self,"[n,n,n]","[n,p,n]",,,,,
Actuator2,HW.Actuator,31,1,Device Restart,T414,"D,T","PLC devices forcibly restarted/shutdown, interrupting water station operation.",self,"[n,n,p]","[n,n,f]",,,,,
Actuator2,HW.Actuator,31,1,Physical Damage,T215,"T,D",Actuators may be physically accessed and forced to operate outside normal parameters.	,self,"[n,n,n]","[n,n,p]",,,,,
Actuator2,HW.Actuator,31,1,Unauthorized Actuation,T115,"T,E","Attacker modifies actuator command signals sent to field devices, enabling unsafe/unintended physical action (e.g. valve flow, pump control).	",self,"[n,n,n]","[p,p,n]",,,,,
Actuator2,HW.Actuator,31,3,Exploitation of Known Vulnerabilities,T208,"T,E","Exploiting software/hardware bugs (e.g., Buffer Overflow) to gain arbitrary code execution on the controller.","self,target(hosts)","[p,p,p]","[f,f,p]",,,target(hosts),HW.PLC,hosts
Actuator2,HW.Actuator,31,3,Firmware Modification,T108,"T,D,E",The malicious modification or replacement of the embedded software within hardware devices.,"self,target(hosts)","[p,p,n]","[p,f,n]",,,target(hosts),HW.PLC,hosts
Actuator2,HW.Actuator,31,3,Loss of device control,T410,"D,R","Attackers may overwrite passwords or clear memory, leaving authorized users unable to manage or recover operational control of the PLC.","self,target(hosts)","[n,n,n]","[p,p,p]",,,target(hosts),HW.PLC,hosts
Actuator2,HW.Actuator,31,3,Main Program Block Removal,T408,D,"Replay deletes Main Object Block, blocks operational logic","self,target(hosts)","[n,n,n]","[n,n,p]",,,target(hosts),HW.PLC,hosts
Actuator2,HW.Actuator,31,3,Manipulating PLC Logic,T308,"S,T","Upload the modified program back to the PLC, leading to malicious code execution","self,target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator2,HW.Actuator,31,3,Misconfiguration,T210,"E,T","Attacker exploits endpoint and protocol weaknesses to compromise the static IP, gain access to PLC configuration via web-server, and alter system settings.	","self,target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator2,HW.Actuator,31,3,Mode Disruption,T310,D,Forced changes to PLC operational mode (RUN/STOP/PROGRAM) may disrupt critical process control.	,"self,target(hosts)","[n,n,n]","[n,n,p]",,,target(hosts),HW.PLC,hosts
Actuator2,HW.Actuator,31,3,Network Ransomware,T317,"T,D,E",The attacker enrypt the data sende by PLC,"self, target(hosts)","[n,n,n]","[p,p,n]",,,target(hosts),HW.PLC,hosts
Actuator2,HW.Actuator,31,3,Process Manipulation,T110,"T,E,D","The integrity, availability, or safety of the managed industrial process (e.g., fluid transfer, pump operation) is put at risk by unauthorized or outdated commands carrying false intentions.	","self, target(hosts), source(connects)","[n,n,n]","[n,f,n]",,,target(hosts),HW.PLC,hosts
